sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
438,221219,29.862643,77.893459,0.73,0.075,0.858,0.69
439,221719,29.862643,77.893459,0.726,0.009,0.938,1.38
440,222219,29.862667,77.893488,0.689,0.071,0.85,1.56
441,222719,29.862667,77.893488,0.573,0.083,0.578,1.04
442,223219,29.862694,77.893512,0.594,0.052,0.777,0.95
443,223719,29.862694,77.893512,0.701,0.119,0.765,1.64
444,224219,29.862726,77.893531,0.608,-0.071,0.66,1.38
445,224719,29.862726,77.893531,0.77,0,0.821,1.56
446,225219,29.862754,77.893554,0.731,-0.003,0.723,3.03
447,225719,29.862754,77.893554,0.77,0.009,0.783,2.51
448,226219,29.862784,77.893573,0.632,-0.029,0.749,3.38
449,226719,29.862784,77.893573,0.629,-0.083,0.813,2.86
450,227219,29.862817,77.893589,0.737,0.095,0.801,2.86
451,227719,29.862817,77.893589,0.514,0.095,0.751,2.6
452,228219,29.862853,77.893598,0.628,0.068,0.722,1.82
453,228719,29.862853,77.893598,0.728,0.116,0.752,1.38
454,229219,29.862884,77.893606,0.639,0.035,0.616,1.3
455,229719,29.862884,77.893606,1.073,0.244,1.764,-2.51
456,230219,29.862918,77.89362,0.705,-0.063,0.609,0.43
457,230719,29.862918,77.89362,0.116,-0.001,0.165,1.21
458,231219,29.862951,77.893639,0.64,0.063,0.694,-0.17
459,231719,29.862951,77.893639,0.656,0.018,0.762,-0.78
460,232219,29.862977,77.893649,0.73,0.081,0.888,-0.61
461,232719,29.862977,77.893649,0.679,-0.029,0.802,-0.61
462,233219,29.863012,77.893663,0.649,0.035,0.675,-0.61
463,233719,29.863012,77.893663,0.634,0.033,0.624,-0.87
464,234219,29.863049,77.893668,0.526,0.007,0.613,-0.61
465,234719,29.863049,77.893668,0.543,0.064,0.761,-1.04
466,235219,29.863086,77.893675,0.701,0.093,0.836,-0.87
467,235719,29.863086,77.893675,0.731,0.111,0.735,-0.87
468,236219,29.863122,77.893687,0.567,0.084,0.729,-0.87
469,236719,29.863122,77.893687,0.715,0.044,0.736,-0.78
470,237219,29.86316,77.893699,0.546,0.134,0.857,-0.69
471,237719,29.86316,77.893699,0.538,0.063,0.82,-0.61
472,238219,29.863198,77.893706,0.708,0.066,0.8,-0.43
473,238719,29.863198,77.893706,0.544,0.062,0.644,-0.69
474,239219,29.863237,77.893714,0.658,0.099,0.874,-0.69
475,239719,29.863237,77.893714,0.726,0.07,0.777,-0.95
476,240219,29.863278,77.893723,0.546,-0.03,0.704,-0.43
477,240719,29.863278,77.893723,0.727,0.151,0.818,-0.95
478,241219,29.863317,77.893728,0.625,0.057,0.775,-0.43
479,241719,29.863317,77.893728,0.71,0.158,0.745,-1.04
480,242219,29.863357,77.89373,0.802,0.048,1.106,-0.61
481,242719,29.863357,77.89373,0.606,0.039,0.868,-1.21
482,243219,29.863397,77.893735,0.549,0.073,0.88,-0.78
483,243719,29.863397,77.893735,0.731,0.077,0.935,-1.21
484,244219,29.863438,77.893741,0.5,0.054,0.611,-0.69
485,244719,29.863438,77.893741,0.621,0.05,0.815,-1.47
486,245219,29.863481,77.893748,0.639,-0.024,0.775,-0.95
487,245719,29.863481,77.893748,0.784,0.113,0.845,-1.21
488,246219,29.863523,77.893755,0.654,-0.062,0.709,-0.95
489,246719,29.863523,77.893755,0.626,-0.012,0.756,-0.95
490,247219,29.863563,77.893759,0.49,0.074,0.616,-1.3
491,247719,29.863563,77.893759,0.7,0.036,0.86,-1.56
492,248219,29.863606,77.893763,0.391,0.057,0.623,-1.04
493,248719,29.863606,77.893763,0.618,0.03,0.703,-1.21
494,249219,29.863644,77.893771,0.794,0.098,0.858,-1.38
495,249719,29.863644,77.893771,0.719,0.101,0.806,-1.73
496,250219,29.863681,77.893782,0.53,0.003,0.657,-1.21
497,250719,29.863681,77.893782,0.56,0.039,0.697,-1.21
498,251219,29.863719,77.893796,0.485,-0.015,0.679,-1.47
499,251719,29.863719,77.893796,0.527,-0.07,0.647,-1.56
500,252219,29.863744,77.893799,0.564,0.14,0.784,-1.73
501,252719,29.863744,77.893799,0.595,0.011,0.682,-1.73
502,253219,29.863792,77.893797,0.589,0.021,0.718,-1.64
503,253719,29.863792,77.893797,0.638,0.073,0.737,-1.12
504,254219,29.863838,77.893802,0.688,0,0.698,-1.38
505,254719,29.863838,77.893802,0.534,0.034,0.769,-1.47
506,255219,29.863879,77.893806,0.568,0.088,0.828,-1.99
507,255719,29.863879,77.893806,0.732,0.064,0.897,-1.82
508,256219,29.86392,77.893818,0.67,0.142,0.809,-1.9
509,256719,29.86392,77.893818,0.604,0.09,0.674,-1.47
510,257219,29.863961,77.893829,0.588,0.073,0.742,-1.82
511,257719,29.863961,77.893829,0.682,0.083,0.84,-1.9
512,258219,29.864002,77.893838,0.964,0.204,1.154,-1.82
513,258719,29.864002,77.893838,0.718,0.129,0.848,-1.9
514,259219,29.864039,77.893842,1.281,0.16,1.511,-2.08
515,259719,29.864039,77.893842,0.505,0.112,0.793,-1.64
516,260219,29.86407,77.893865,0.775,0.005,0.845,-1.73
517,260719,29.86407,77.893865,0.726,0.077,0.914,-1.73
518,261219,29.864097,77.893894,0.372,0.04,0.6,-1.56
519,261719,29.864097,77.893894,0.667,0.175,0.843,-1.56
520,262219,29.864115,77.893923,0.52,0.006,0.623,-1.3
521,262719,29.864115,77.893923,0.218,0.009,0.282,0.52
522,263219,29.864131,77.893953,0.696,0.089,0.763,-1.73
523,263719,29.864131,77.893953,0.621,0.047,0.728,-1.21
524,264219,29.86414,77.893988,0.708,0.066,0.758,-1.38
525,264719,29.86414,77.893988,0.621,0.066,0.705,-1.38
526,265219,29.864148,77.89402,0.63,0.018,0.64,-1.3
527,265719,29.864148,77.89402,0.602,0.101,0.742,-1.12
528,266219,29.864151,77.894054,0.657,-0.012,0.767,-1.04
529,266719,29.864151,77.894054,0.636,0.103,0.831,-1.99
530,267219,29.864157,77.894086,0.766,0.139,0.904,-1.38
531,267719,29.864157,77.894086,0.564,-0.016,0.753,-1.38
532,268219,29.864168,77.894133,0.722,0.104,0.958,-1.47
533,268719,29.864168,77.894133,0.605,0.026,0.793,-1.38
534,269219,29.864177,77.894166,0.689,0.09,0.804,-1.56
535,269719,29.864177,77.894166,0.636,0.068,0.712,-1.56
536,270219,29.864185,77.894197,0.684,-0.013,0.784,-1.47
537,270719,29.864185,77.894197,0.591,0.083,0.767,-1.56
538,271219,29.864193,77.894227,0.639,0.104,0.776,-1.64
539,271719,29.864193,77.894227,0.649,0.044,0.811,-1.82
540,272219,29.864193,77.89426,0.657,0.054,0.804,-1.3
541,272719,29.864193,77.89426,0.632,0.063,0.753,-1.3
542,273219,29.864202,77.894301,0.671,0.017,0.793,-1.21
543,273719,29.864202,77.894301,0.695,0.08,0.807,-1.64
544,274219,29.864202,77.894342,0.687,-0.005,0.866,-1.56
545,274719,29.864202,77.894342,0.64,0.036,0.83,-1.64
546,275219,29.864201,77.894376,0.609,0.031,0.827,-1.38
547,275719,29.864201,77.894376,0.59,0.105,0.716,-1.73
548,276219,29.864197,77.894416,0.569,0.04,0.765,-1.47
549,276719,29.864197,77.894416,0.736,0.057,0.703,-1.47
550,277219,29.864194,77.894453,0.598,-0.056,0.742,-1.38
551,277719,29.864194,77.894453,0.695,0.117,0.86,-1.64
552,278219,29.864189,77.894501,0.625,-0.038,0.711,-1.21
571,287719,29.864172,77.894918,0.572,0.058,0.736,-1.47
572,288219,29.864175,77.894945,0.645,0.106,0.774,-1.56
573,288719,29.864175,77.894945,0.641,-0.004,0.805,-1.56
574,289219,29.864175,77.894979,0.657,0.077,0.882,-1.47
575,289719,29.864175,77.894979,0.719,0.156,0.827,-1.47
576,290219,29.864173,77.895025,0.845,0.098,0.932,-1.56
577,290719,29.864173,77.895025,0.635,0.105,0.748,-1.12
578,291219,29.864212,77.895056,0.734,0.117,0.858,-1.47
579,291719,29.864212,77.895056,0.805,0.042,0.902,-1.64
580,292219,29.864236,77.895101,0.637,0.103,0.735,-1.3
581,292719,29.864236,77.895101,0.645,0.081,0.724,-1.3
582,293219,29.864239,77.895151,0.691,0.09,0.722,-1.47
583,293719,29.864239,77.895151,0.755,0.131,0.985,-1.64
584,294219,29.864227,77.895205,0.732,0.057,0.934,-1.21
585,294719,29.864227,77.895205,0.602,0.07,0.803,-1.3
586,295219,29.864214,77.895229,0.73,-0.051,0.825,-1.38
587,295719,29.864214,77.895229,0.711,0.053,0.798,-1.38
588,296219,29.864166,77.895291,0.699,-0.01,0.7,-1.47
589,296719,29.864166,77.895291,0.597,0.141,0.669,-1.12
590,297220,29.864148,77.895297,0.669,-0.109,0.804,-1.21
591,297719,29.864148,77.895297,0.619,0.094,0.739,-1.12
592,298220,29.864108,77.895326,1.035,0.118,1.304,-0.87
593,298720,29.864108,77.895326,0.772,0.143,0.811,-1.9
594,299220,29.864071,77.895358,0.681,-0.025,0.796,-1.64
595,299720,29.864071,77.895358,0.629,0.101,0.642,-1.47
596,300220,29.864031,77.895374,0.635,0.027,0.764,-1.38
597,300720,29.864031,77.895374,0.706,0.092,0.849,-1.64
598,301219,29.863997,77.895378,0.585,0.074,0.754,-1.3
599,301720,29.863997,77.895378,0.732,0.131,0.923,-1.47
600,302219,29.863958,77.895385,0.748,0.183,0.974,-1.73
601,302719,29.863958,77.895385,0.668,-0.027,0.779,-1.73
602,303219,29.863926,77.895376,0.59,0.098,0.721,-1.56
603,303719,29.863926,77.895376,0.746,0.047,0.895,-1.38
604,304219,29.863883,77.895375,0.944,0.023,1.046,-1.82
605,304719,29.863883,77.895375,0.909,-0.014,0.867,-1.21
606,305219,29.863835,77.895374,0.664,0.112,0.822,-1.04
607,305719,29.863835,77.895374,0.698,0.013,0.741,-0.78
608,306219,29.863795,77.895377,0.803,0.067,0.806,-0.87
609,306719,29.863795,77.895377,0.953,-0.036,0.67,-0.78
610,307219,29.863754,77.895379,0.436,-0.021,0.301,0.35
611,307719,29.863754,77.895379,0.449,-0.031,0.292,1.47
612,308219,29.863717,77.89538,0.604,0.214,0.647,0
613,308719,29.863717,77.89538,0.621,0.032,0.74,0.09
614,309219,29.863681,77.895389,0.546,0.046,0.697,-0.09
615,309719,29.863681,77.895389,0.638,0.142,0.75,0.17
616,310219,29.863648,77.895395,0.652,0.082,0.675,1.9
617,310719,29.863648,77.895395,0.635,0.104,0.722,1.04
618,311219,29.863617,77.895402,0.619,0.051,0.816,1.3
619,311719,29.863617,77.895402,0.571,0.037,0.707,1.04
620,312219,29.863589,77.89541,0.515,0.095,0.699,1.3
621,312719,29.863589,77.89541,0.685,0.096,0.656,0.87
622,313219,29.863554,77.895405,0.641,-0.012,0.665,1.47
623,313719,29.863554,77.895405,0.523,-0.032,0.584,1.38
624,314219,29.863519,77.895407,0.619,0.063,0.682,1.56
625,314719,29.863519,77.895407,0.503,0.07,0.711,1.38
626,315219,29.863481,77.895404,0.557,0.005,0.693,1.3
627,315719,29.863481,77.895404,0.521,0.049,0.644,1.3
628,316219,29.863444,77.895403,0.471,0.031,0.564,1.64
629,316719,29.863444,77.895403,0.552,0.135,0.652,1.12
630,317219,29.863403,77.895415,0.694,0.059,0.707,1.64
631,317719,29.863403,77.895415,0.6,-0.024,0.599,1.12
632,318219,29.863364,77.895413,0.634,0.046,0.612,1.9
633,318719,29.863364,77.895413,0.599,0.007,0.707,1.56
634,319219,29.863324,77.895419,0.836,0.052,1.04,1.82
635,319719,29.863324,77.895419,0.658,0.088,0.86,1.47
636,320219,29.863287,77.895424,0.677,-0.034,0.908,1.73
637,320719,29.863287,77.895424,0.673,0.057,0.796,1.9
638,321219,29.86325,77.895427,0.594,0.093,0.638,2.16
639,321719,29.86325,77.895427,0.682,-0.017,0.709,1.56
640,322219,29.863215,77.895424,0.543,0.086,0.579,2.16
641,322719,29.863215,77.895424,0.691,0.053,0.826,2.16
642,323219,29.86318,77.895413,0.602,0.013,0.665,1.99
643,323719,29.86318,77.895413,0.627,0.019,0.682,2.34
644,324219,29.863144,77.89539,0.633,0.033,0.806,2.68
645,324719,29.863144,77.89539,0.585,-0.021,0.663,2.6
646,325219,29.863112,77.895375,0.614,0.044,0.588,2.6
647,325719,29.863112,77.895375,0.539,0.071,0.684,3.46
648,326219,29.863072,77.895367,0.578,0.043,0.683,3.81
649,326719,29.863072,77.895367,0.683,0.102,0.856,3.46
650,327219,29.863035,77.895359,0.718,0.254,0.793,3.63
651,327719,29.863035,77.895359,0.636,0.137,0.828,-0.52
652,328219,29.863013,77.895347,0.724,0.059,0.699,0
653,328719,29.863013,77.895347,0.655,0.091,0.701,0
654,329219,29.862992,77.89534,0.656,0.008,0.711,0.26
655,329719,29.862992,77.89534,0.641,0.048,0.668,0.17
656,330219,29.862972,77.895328,0.63,0.02,0.746,0
657,330719,29.862972,77.895328,0.634,0.066,0.659,0.35
658,331219,29.862957,77.89532,0.659,0.003,0.727,0.17
659,331719,29.862957,77.89532,0.608,0.048,0.738,0.26
660,332219,29.862929,77.895314,0.667,0.107,0.705,0.35
661,332719,29.862929,77.895314,0.652,0.042,0.723,0.52
662,333219,29.86287,77.895336,0.622,0.07,0.644,0.43
663,333719,29.86287,77.895336,0.723,0.022,0.686,0.87
664,334219,29.862813,77.895352,0.545,-0.099,0.465,2.42
665,334719,29.862813,77.895352,0.43,0.001,0.558,0.95
666,335219,29.862769,77.895353,0.597,0.144,0.708,0.95
667,335719,29.862769,77.895353,0.7,0.087,0.817,0.52
668,336219,29.86273,77.895354,0.839,0.06,0.991,0.61
669,336719,29.86273,77.895354,0.688,0.031,0.83,0.78
670,337219,29.862697,77.895356,0.635,0.084,0.766,0.17
671,337719,29.862697,77.895356,0.554,-0.071,0.695,0.52
672,338219,29.862672,77.89534,0.582,0.182,0.724,0.52
673,338719,29.862672,77.89534,0.697,0.058,0.79,0.26
674,339219,29.862632,77.895326,0.623,0.033,0.658,0.61
675,339719,29.862632,77.895326,0.678,0.102,0.854,0.61
676,340219,29.86259,77.89529,0.601,0.059,0.611,0.87
677,340719,29.86259,77.89529,0.781,0.032,0.758,10.04
678,341219,29.862551,77.895285,0.481,0.067,0.694,0.09
679,341719,29.862551,77.895285,0.825,0.084,0.895,0
680,342219,29.862514,77.895275,0.758,0.193,0.98,0.09
681,342719,29.862514,77.895275,1.165,0.291,1.801,0
682,343219,29.862485,77.895268,0.945,0.104,1.083,-0.17
683,343719,29.862485,77.895268,0.603,-0.039,0.632,-0.43
684,344219,29.862459,77.89525,0.569,-0.023,0.644,-0.09
685,344719,29.862459,77.89525,0.752,0.043,0.972,-0.17
686,345219,29.862427,77.895213,0.716,0.243,0.792,-0.69
687,345719,29.862427,77.895213,0.391,0.034,0.314,0.09
688,346219,29.86241,77.895186,0.603,-0.011,0.821,0.35
689,346719,29.86241,77.895186,0.708,0.11,0.817,-0.09
690,347219,29.862408,77.895153,0.644,0.015,0.746,-0.17
691,347719,29.862408,77.895153,0.406,0.085,0.646,-0.26
692,348219,29.862403,77.895102,0.741,0.048,0.864,0
693,348719,29.862403,77.895102,0.734,-0.02,0.705,-0.17
694,349219,29.862396,77.895039,0.686,0.078,0.68,0.09
695,349719,29.862396,77.895039,0.673,-0.017,0.673,0.17
696,350219,29.862395,77.894996,0.626,0.031,0.564,0.17
697,350719,29.862395,77.894996,0.659,0.002,0.819,-0.17
698,351219,29.862397,77.894958,0.701,0.116,0.776,-0.09
699,351719,29.862397,77.894958,0.368,0.066,0.396,0.52
700,352219,29.862407,77.894924,0.876,0.147,1.177,0.43
701,352719,29.862407,77.894924,0.403,0.097,1.001,0
702,353219,29.862417,77.894891,0.972,0.393,1.402,0.09
703,353719,29.862417,77.894891,0.517,0.093,0.831,-0.26
704,354219,29.862432,77.894857,0.613,0.057,0.799,0
705,354719,29.862432,77.894857,0.7,0.152,0.856,0.09
706,355219,29.862439,77.894812,0.775,0.066,0.824,0.26
707,355719,29.862439,77.894812,0.756,0.039,0.856,-0.09
708,356219,29.862448,77.89477,0.742,0.048,0.864,-0.09
709,356719,29.862448,77.89477,0.607,0.092,0.698,-0.17
710,357219,29.862452,77.894731,0.609,0.053,0.706,-0.43
711,357719,29.862452,77.894731,0.569,0.038,0.654,-0.17
712,358219,29.862453,77.894692,0.693,0.038,0.75,0.09
713,358719,29.862453,77.894692,0.452,0.021,0.658,-0.17
714,359219,29.862456,77.894655,0.646,0.105,0.817,-0.17
715,359719,29.862456,77.894655,0.665,0.046,0.803,0.17
716,360219,29.862462,77.894617,0.71,0.051,0.719,-0.26
717,360719,29.862462,77.894617,0.706,0.013,0.774,-0.17
718,361219,29.86247,77.894581,0.666,0.044,0.64,0.09
719,361719,29.86247,77.894581,0.8,0.086,0.924,-0.26
720,362219,29.862478,77.894547,0.611,0.048,0.777,-0.35
721,362719,29.862478,77.894547,0.533,-0.007,0.647,0
722,363219,29.862477,77.894513,0.564,0.081,0.849,0.26
723,363719,29.862477,77.894513,0.529,0.073,0.705,-0.35
724,364219,29.862483,77.894487,0.523,0.083,0.924,-0.17
725,364719,29.862483,77.894487,0.447,0.189,0.642,-0.26
726,365219,29.862483,77.894468,0.523,-0.636,1.332,-9998.12
727,365719,29.862483,77.894468,0.205,-0.39,0.868,-2.08
728,366219,29.862476,77.894461,0.413,-0.664,0.745,0.26
729,366719,29.862476,77.894461,0.571,0.197,0.632,1.82
730,367219,29.86247,77.894459,0.431,-0.13,0.825,2.42
731,367719,29.86247,77.894459,-0.091,-0.363,0.859,-318.7
732,368219,29.862466,77.894456,0.568,-0.404,0.754,3.81
733,368719,29.862466,77.894456,0.626,0.053,0.844,1.3
734,369219,29.862468,77.894454,0.632,0.066,0.81,2.08
735,369719,29.862468,77.894454,0.617,0.029,0.789,12.81
736,370219,29.862469,77.894453,0.63,0.048,0.726,-0.43
737,370719,29.862469,77.894453,0.625,0.127,0.705,0.52
738,371219,29.86247,77.894452,0.445,-0.219,0.878,-0.61
739,371719,29.86247,77.894452,0.527,-0.613,1.248,0.17
740,372219,29.862467,77.894452,0.628,-0.315,0.808,1.82
741,372719,29.862467,77.894452,0.981,0.272,0.573,-318.7
742,373219,29.862464,77.894452,0.609,-0.249,0.81,-318.7
743,373719,29.862464,77.894452,0.586,-0.113,0.723,-0.17
744,374219,29.862465,77.894453,0.756,0.082,0.785,0.35
745,374719,29.862465,77.894453,0.698,0.159,0.654,0.69
746,375219,29.862464,77.894453,0.727,-0.039,0.693,0.69
747,375719,29.862464,77.894453,0.733,0.004,0.679,0.61
748,376219,29.862457,77.89445,0.733,-0.021,0.682,0.69
749,376719,29.862457,77.89445,0.726,0.008,0.681,0.43
750,377219,29.862455,77.894449,0.727,0.004,0.694,1.04
751,377719,29.862455,77.894449,0.727,-0.002,0.701,0.52
752,378219,29.862456,77.894449,0.771,0.014,0.688,1.04
753,378719,29.862456,77.894449,0.658,-0.25,0.663,0.35
754,379219,29.862454,77.894449,0.723,-0.143,0.827,0.35
755,379719,29.862454,77.894449,0.736,0.152,0.673,0.26
756,380219,29.862455,77.894451,0.615,-0.149,0.631,0.69
757,380719,29.862455,77.894451,0.961,-0.274,0.563,1.38
758,381219,29.862458,77.894454,0.946,-0.133,0.581,0.17
759,381719,29.862458,77.894454,0.917,-0.052,0.572,-0.52
760,382219,29.862457,77.894454,0.864,0.236,0.554,-0.35
761,382719,29.862457,77.894454,0.635,-0.038,0.718,-318.7
762,383219,29.862446,77.89445,0.791,0.15,0.734,-0.61
763,383719,29.862446,77.89445,0.832,0.06,0.538,-0.26
764,384219,29.862446,77.894451,0.866,0.079,0.513,0
765,384719,29.862446,77.894451,0.838,0.119,0.526,-0.61
766,385219,29.862448,77.894455,0.882,0.065,0.489,-0.52
767,385719,29.862448,77.894455,0.867,0.085,0.484,0.26
768,386219,29.862448,77.894455,0.887,0.096,0.487,0.87
769,386719,29.862448,77.894455,0.921,0.01,0.482,0.09
770,387219,29.862446,77.894454,0.874,0.107,0.48,1.3
771,387719,29.862446,77.894454,0.883,0.113,0.504,0.95
772,388219,29.862449,77.894455,0.835,0.044,0.562,-0.87
773,388719,29.862449,77.894455,0.847,0.049,0.576,0.26
774,389219,29.86245,77.894456,0.719,0.128,0.599,0.95
775,389719,29.86245,77.894456,0.766,0.063,0.608,0.87
776,390219,29.862458,77.894459,0.778,0.048,0.63,1.3
777,390719,29.862458,77.894459,0.795,0.032,0.599,1.3
778,391219,29.862459,77.89446,0.787,-0.042,0.623,1.64
779,391719,29.862459,77.89446,0.802,0.008,0.615,2.08
780,392219,29.862457,77.894459,0.791,0.019,0.61,3.81
781,392719,29.862457,77.894459,0.774,0.005,0.612,3.03
782,393219,29.862456,77.894458,0.777,0.029,0.647,3.81
783,393719,29.862456,77.894458,0.76,0.005,0.667,4.33
784,394219,29.862455,77.894457,0.764,0.014,0.655,4.93
785,394719,29.862455,77.894457,0.771,0.008,0.636,4.07
786,395219,29.862456,77.894457,0.76,0.014,0.673,4.5
787,395719,29.862456,77.894457,0.779,0.003,0.63,-318.7
788,396219,29.862455,77.894456,0.771,0.007,0.648,-318.7
789,396719,29.862455,77.894456,0.772,0.003,0.645,-318.7
790,397219,29.862454,77.894456,0.76,0.014,0.656,-318.7
791,397719,29.862454,77.894456,0.75,0.013,0.665,-318.7
792,398219,29.862453,77.894455,0.76,0.035,0.669,-318.7
793,398719,29.862453,77.894455,0.764,0,0.643,-318.7
794,399219,29.862452,77.894454,0.77,0.017,0.653,-318.7
795,399719,29.862452,77.894454,0.747,-0.008,0.669,-318.7
796,400219,29.862451,77.894454,0.754,0.021,0.653,-318.7
797,400719,29.862451,77.894454,0.754,0.01,0.658,-318.7
798,401219,29.862449,77.894452,0.756,0.008,0.662,-318.7
799,401719,29.862449,77.894452,0.751,0.017,0.657,-318.7
800,402219,29.86245,77.894453,0.752,0.013,0.673,-318.7
801,402719,29.86245,77.894453,0.752,0.005,0.667,-318.7
