sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
102,53219,29.862524,77.89398,0.661,0.024,0.841,2.94
103,53719,29.862524,77.89398,0.681,-0.01,0.869,2.25
104,54219,29.862544,77.893942,0.597,-0.046,0.709,2.51
105,54719,29.862544,77.893942,0.586,-0.061,0.789,2.68
106,55219,29.862567,77.893913,0.634,0.04,0.825,3.38
107,55719,29.862567,77.893913,0.623,0.049,0.805,2.77
108,56219,29.862591,77.893888,0.532,-0.015,0.717,3.2
109,56719,29.862591,77.893888,0.684,0.069,0.83,2.68
110,57219,29.862616,77.893864,0.558,0.072,0.758,3.72
111,57719,29.862616,77.893864,0.499,-0.032,0.791,3.63
112,58219,29.862641,77.893843,0.505,0.046,0.603,4.85
113,58719,29.862641,77.893843,0.606,0.068,0.828,3.98
114,59219,29.862669,77.893823,0.636,0.115,0.999,4.15
115,59719,29.862669,77.893823,0.516,0.126,0.849,4.33
116,60219,29.862703,77.893812,0.792,0.03,1.048,4.41
117,60719,29.862703,77.893812,0.666,0.085,0.846,5.02
118,61219,29.862734,77.893803,0.554,0.05,0.778,4.93
119,61719,29.862734,77.893803,0.487,-0.016,0.632,5.97
120,62219,29.862767,77.893795,0.704,0.001,0.724,-318.7
121,62719,29.862767,77.893795,0.67,0.069,0.866,-318.7
122,63219,29.8628,77.89379,0.6,0.011,0.675,-318.7
123,63719,29.8628,77.89379,0.653,0.198,0.789,-318.7
124,64219,29.862833,77.893791,0.664,0.115,0.768,-318.7
125,64719,29.862833,77.893791,0.595,0.106,0.7,-318.7
126,65219,29.862867,77.893793,0.515,-0.109,0.278,-318.7
127,65719,29.862867,77.893793,0.27,-0.221,0.338,-318.7
128,66219,29.862895,77.893796,0.206,-0.268,0.329,1.56
129,66719,29.862895,77.893796,0.218,0.041,0.201,1.3
130,67219,29.862927,77.8938,0.62,-0.022,0.754,0.52
131,67719,29.862927,77.8938,0.736,0.04,0.889,-0.35
132,68219,29.862961,77.8938,0.63,0.084,0.805,-0.26
133,68719,29.862961,77.8938,0.611,0.128,0.786,0.17
134,69219,29.862997,77.8938,0.615,0.007,0.748,0
135,69719,29.862997,77.8938,0.615,0.017,0.762,-0.26
136,70219,29.863032,77.893801,0.498,0.06,0.698,-0.52
137,70719,29.863032,77.893801,0.633,0.036,0.747,-0.35
138,71219,29.863063,77.893803,0.579,0.045,0.778,0.09
139,71719,29.863063,77.893803,0.572,0.01,0.686,0.09
140,72219,29.8631,77.893807,0.734,-0.017,0.929,0.17
141,72719,29.8631,77.893807,0.617,0.042,0.86,0
142,73219,29.863135,77.893808,0.624,-0.031,0.869,-0.09
143,73719,29.863135,77.893808,0.701,-0.04,0.707,0.09
144,74219,29.863174,77.893812,0.577,-0.056,0.634,0.35
145,74719,29.863174,77.893812,0.521,0.002,0.665,0.26
146,75219,29.863213,77.893816,0.702,-0.01,0.892,0.26
147,75719,29.863213,77.893816,0.588,0.004,0.635,0.26
148,76219,29.863255,77.893817,0.588,0.119,0.729,0.09
149,76719,29.863255,77.893817,0.675,0.046,0.779,0.61
150,77219,29.86329,77.89382,0.619,-0.008,0.78,0.43
151,77719,29.86329,77.89382,0.551,0,0.682,0.43
152,78219,29.863327,77.893821,0.563,0.04,0.675,0.78
153,78719,29.863327,77.893821,0.595,0.141,0.763,0.26
154,79219,29.863365,77.893824,0.614,-0.054,0.88,0.17
155,79719,29.863365,77.893824,0.571,0.079,0.707,0.69
156,80219,29.863402,77.893827,0.66,0.012,0.832,0.78
157,80719,29.863402,77.893827,0.508,0.07,0.631,0.61
158,81219,29.863439,77.893829,0.643,0.047,0.864,0.52
159,81719,29.863439,77.893829,0.661,0.094,0.878,0.26
160,82219,29.863479,77.893831,0.508,-0.031,0.693,0.78
161,82719,29.863479,77.893831,0.509,0.073,0.579,0.87
162,83219,29.863519,77.893835,0.655,0.006,0.902,0.61
163,83719,29.863519,77.893835,0.653,-0.053,0.675,0.35
164,84219,29.863558,77.893841,0.599,0.023,0.793,0.61
165,84719,29.863558,77.893841,0.639,-0.033,0.736,0.43
166,85219,29.863601,77.893842,0.435,0.049,0.57,-0.87
167,85719,29.863601,77.893842,0.576,-0.039,0.746,-0.61
168,86219,29.863639,77.893841,0.679,0.037,0.717,-0.78
169,86719,29.863639,77.893841,0.974,0.13,1.215,-0.52
170,87219,29.863676,77.893844,0.745,0.148,0.939,-0.69
171,87719,29.863676,77.893844,0.549,0.049,0.868,-0.78
172,88219,29.863712,77.893848,0.522,-0.004,0.687,-0.52
173,88719,29.863712,77.893848,0.469,-0.086,0.646,-0.35
174,89219,29.863752,77.893853,0.781,-0.096,0.86,-0.26
175,89719,29.863752,77.893853,0.684,-0.01,0.802,-0.87
176,90219,29.863793,77.893858,0.695,0.06,0.869,-0.52
177,90719,29.863793,77.893858,0.696,0.021,0.823,-0.78
178,91219,29.86384,77.893872,0.719,0.085,0.945,-0.52
179,91719,29.86384,77.893872,0.586,0.025,0.775,-0.52
180,92219,29.863884,77.89388,0.781,0.046,0.888,-1.21
181,92719,29.863884,77.89388,0.511,0.013,0.663,-0.95
182,93219,29.863924,77.893891,0.631,0.074,0.839,-0.95
183,93719,29.863924,77.893891,0.549,0.001,0.813,-0.95
184,94219,29.863966,77.893898,0.345,0.023,0.587,-0.61
185,94719,29.863966,77.893898,0.525,-0.058,0.611,-0.52
186,95219,29.864003,77.893907,0.604,0.011,0.857,-0.43
187,95719,29.864003,77.893907,0.526,0.036,0.756,-1.04
188,96219,29.86404,77.893905,0.352,0.143,0.851,-1.21
189,96719,29.86404,77.893905,0.393,0.029,0.592,-0.09
190,97219,29.864075,77.893894,0.604,-0.155,0.825,-1.38
191,97719,29.864075,77.893894,0.664,0.061,0.844,-1.12
192,98219,29.864109,77.893861,0.485,0.008,0.526,-1.38
193,98719,29.864109,77.893861,0.464,-0.099,0.622,-0.78
194,99219,29.864128,77.893828,0.556,0.042,0.625,-0.61
195,99719,29.864128,77.893828,0.586,0.02,0.663,-0.52
196,100219,29.864133,77.893791,0.594,-0.028,0.75,0.52
197,100719,29.864133,77.893791,0.476,0.011,0.598,0.52
198,101219,29.864134,77.893754,0.572,-0.073,0.756,0.61
199,101719,29.864134,77.893754,0.423,0.025,0.622,0.78
200,102219,29.864141,77.893722,0.496,-0.036,0.705,0.78
201,102719,29.864141,77.893722,0.651,0.028,0.81,0.95
202,103219,29.864149,77.893687,0.597,-0.001,0.815,0.78
203,103719,29.864149,77.893687,0.611,0.025,0.787,0.61
204,104219,29.864144,77.893656,0.608,0.008,0.693,1.21
205,104719,29.864144,77.893656,0.607,0.025,0.796,1.56
206,105219,29.864146,77.893613,0.589,0.079,0.69,2.86
207,105719,29.864146,77.893613,0.742,-0.022,0.957,1.99
208,106219,29.86415,77.89357,0.6,0.06,0.816,3.2
209,106719,29.86415,77.89357,0.555,-0.104,0.81,1.21
210,107219,29.86415,77.893526,0.594,0.002,0.865,4.33
211,107719,29.86415,77.893526,0.608,0.013,0.788,5.28
212,108219,29.864148,77.893483,0.522,-0.058,0.749,4.93
213,108719,29.864148,77.893483,0.637,-0.031,0.702,-318.7
