sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
143,128734,29.861777,77.894652,0.139,-1.027,-0.074,-0.35
144,129240,29.861777,77.894652,0.039,-1.094,-0.141,-0.26
145,129740,29.86178,77.89465,0.116,-1.158,-0.091,-0.09
146,133132,29.861796,77.894646,0.186,-0.951,-0.022,-0.26
147,133649,29.861796,77.894646,0.326,-1.015,-0.092,0.09
148,134156,29.8618,77.894643,0.124,-1.146,-0.042,-0.43
149,134674,29.861802,77.89464,0.334,-0.957,-0.1,0.09
150,135181,29.861802,77.89464,0.313,-0.992,-0.106,-0.09
151,135701,29.8618,77.894644,0.377,-1.019,-0.055,-0.09
152,136208,29.8618,77.894644,0.292,-1.008,0.084,-0.26
153,136727,29.861806,77.89464,0.18,-1.017,-0.142,-0.09
154,137233,29.861806,77.89464,0.36,-0.978,-0.025,0.17
155,137752,29.861807,77.894641,0.168,-1.062,-0.052,0.09
156,138255,29.861807,77.894641,0.127,-0.997,-0.101,-0.17
157,138756,29.861806,77.89464,0.16,-1.015,-0.046,0.43
158,139259,29.861806,77.89464,0.242,-1,-0.074,0
159,139759,29.861816,77.894645,0.206,-0.984,-0.079,0.09
160,143128,29.861815,77.894646,0.208,-1.009,-0.083,0.09
161,143643,29.861815,77.894646,0.22,-1.055,-0.055,0.61
162,147092,29.861821,77.894643,0.215,-1.09,-0.158,
163,148897,29.861823,77.89465,0.281,-1.092,-0.112,-0.78
164,149397,29.861823,77.89465,0.255,-0.93,-0.155,-1.12
165,149903,29.86182,77.894654,0.204,-0.982,-0.167,-1.3
166,150404,29.86182,77.894654,0.109,-1.065,-0.188,-1.3
167,150911,29.861814,77.894658,0.161,-1.108,-0.228,-1.64
168,154300,29.86182,77.894665,0.1,-1.027,-0.079,-1.64
169,160666,29.861825,77.894712,0.25,-1.019,-0.096,-1.64
170,164060,29.861817,77.894725,0.325,-0.913,-0.087,-1.56
171,164577,29.861817,77.894725,0.132,-1.085,-0.133,-1.38
172,167973,29.8618,77.89472,0.216,-1.03,-0.167,-1.82
173,171380,29.86179,77.89472,0.266,-0.919,-0.09,-1.73
174,174787,29.861765,77.894721,0.185,-0.972,-0.114,-1.64
175,178158,29.861749,77.894725,0.159,-1.011,-0.164,-2.08
176,181560,29.86174,77.894727,0.166,-1.005,-0.153,-1.73
177,183381,29.861736,77.894736,0.221,-1.006,-0.145,-1.47
178,185182,29.861732,77.89473,0.224,-1,-0.16,-1.82
179,185703,29.86173,77.894732,0.097,-1.025,-0.098,-1.64
180,186209,29.86173,77.894732,0.114,-1.132,-0.127,-2.34
181,186729,29.861729,77.894734,0.05,-0.999,-0.09,-1.82
182,187234,29.861729,77.894734,0.05,-1.103,-0.187,-1.82
183,187734,29.861724,77.89474,0.124,-1.15,-0.117,-1.9
184,189549,29.861719,77.894748,0.111,-0.969,-0.098,-1.64
185,190059,29.861709,77.894751,-0.091,-1.032,-0.196,-1.38
186,190576,29.861709,77.894751,0.146,-1.094,-0.174,-1.56
187,191089,29.861703,77.894751,0.167,-0.98,-0.162,-1.9
188,192926,29.861691,77.894748,0.082,-1.003,-0.157,-1.73
189,193445,29.861691,77.894748,0.122,-1.069,-0.005,-1.56
190,193954,29.861686,77.89475,0.072,-1.07,-0.113,-1.73
191,194472,29.861686,77.89475,0.109,-0.975,-0.135,-1.64
192,194980,29.861685,77.894753,0.028,-1.036,-0.097,-1.47
193,195498,29.861685,77.894753,0.096,-1.114,-0.142,-1.73
194,197321,29.86167,77.894757,0.025,-1.05,-0.153,-1.64
195,197825,29.861665,77.894755,0.072,-1.056,0.009,-1.64
196,198325,29.861665,77.894755,0.047,-1.123,-0.14,-1.73
197,198829,29.861655,77.89476,0.177,-0.992,-0.133,-1.64
198,199330,29.861655,77.89476,0.062,-1.028,-0.164,-1.9
199,199834,29.861642,77.894772,0.114,-1,-0.182,-1.82
200,200334,29.861642,77.894772,0.044,-1.075,-0.143,-1.64
201,200837,29.861637,77.894781,0.181,-1.032,-0.09,-1.56
202,201339,29.861637,77.894781,0.194,-0.948,-0.192,-1.56
203,201844,29.861634,77.894776,0.147,-1.024,-0.13,-1.82
204,202345,29.861634,77.894776,0.019,-1.092,-0.161,-1.73
205,202849,29.861627,77.894773,0.103,-1.142,-0.154,-1.9
206,203350,29.861627,77.894773,0.155,-1.012,-0.127,-1.64
207,203855,29.861614,77.89478,0.07,-1.052,-0.099,-1.73
208,204356,29.861614,77.89478,-0.024,-1.073,-0.15,-1.64
