sequence_no,KF_lat,KF_long
72,29.8643265,77.8921127
73,29.8643284,77.8921204
74,29.8643284,77.8921204
75,29.8643265,77.8921127
76,29.8643208,77.8921127
78,29.8643169,77.8921127
79,29.8643169,77.8921127
80,29.8643169,77.8921127
81,29.864315,77.8921127
82,29.864315,77.8921127
83,29.8643131,77.8921127
84,29.8643131,77.8921127
85,29.8643131,77.8921127
86,29.8643131,77.8921127
87,29.8643131,77.8921051
88,29.8643131,77.8921051
89,29.8643093,77.8921051
90,29.8643093,77.8921051
91,29.8643093,77.8921051
92,29.8643093,77.8921051
93,29.8643093,77.8921051
94,29.8643093,77.8921051
95,29.8643093,77.8921051
96,29.8643093,77.8921051
97,29.8643093,77.8921051
98,29.8643093,77.8921051
99,29.8643131,77.8921051
100,29.8643131,77.8921051
101,29.8643131,77.8921051
102,29.8643131,77.8921051
103,29.8643131,77.8921051
104,29.8643131,77.8921051
105,29.864315,77.8921051
106,29.8643169,77.8921051
107,29.8643131,77.8920975
108,29.8643131,77.8920975
109,29.864315,77.8920975
110,29.8643169,77.8920975
111,29.8643169,77.8920975
112,29.8643169,77.8920975
113,29.8643227,77.8920746
114,29.8643227,77.8920746
115,29.8643284,77.8920746
116,29.8643303,77.8920746
118,29.8643398,77.8920593
119,29.8643436,77.892067
120,29.8643417,77.892067
121,29.8643379,77.8920746
123,29.8643284,77.8920822
124,29.8643475,77.8920746
125,29.8643398,77.8920746
126,29.864336,77.8920746
127,29.864336,77.8920898
128,29.864336,77.8920898
129,29.864336,77.8920746
130,29.864336,77.8920746
131,29.864336,77.8920746
132,29.864336,77.8920746
133,29.8643303,77.8920746
134,29.8643303,77.8920746
135,29.8643303,77.8920746
136,29.8643303,77.8920746
137,29.8643303,77.8920746
138,29.8643303,77.8920746
139,29.8643303,77.8920746
141,29.8643341,77.8920746
142,29.8643341,77.8920746
143,29.8643303,77.8920746
144,29.8643303,77.8920746
145,29.8643303,77.8920746
146,29.8643284,77.8920746
148,29.8643303,77.8920746
149,29.8643303,77.8920898
150,29.8643303,77.8920898
151,29.8643246,77.8920975
152,29.8643227,77.8920975
153,29.8643227,77.8921127
154,29.8643227,77.8921127
155,29.8643227,77.8921204
156,29.8643227,77.8921204
157,29.8643208,77.8921356
158,29.8643188,77.8921432
159,29.8643265,77.8921661
160,29.8643284,77.8921661
161,29.8643436,77.8921814
162,29.8643475,77.8921814
163,29.8643703,77.8921967
164,29.8643742,77.8921967
165,29.864397,77.8922043
166,29.8644009,77.8921967
167,29.8644218,77.8922195
168,29.8644257,77.8922195
170,29.86446,77.8922195
171,29.8644943,77.8922195
172,29.8645,77.8922195
173,29.8645306,77.8922272
174,29.8645363,77.8922272
175,29.8645611,77.8922272
176,29.8645668,77.8922272
177,29.8645935,77.8922424
178,29.8645992,77.8922424
179,29.8646317,77.8922424
180,29.8646374,77.8922424
181,29.864666,77.8922424
182,29.8646717,77.8922424
183,29.8646984,77.8922501
184,29.8647022,77.8922501
185,29.8647289,77.8922501
186,29.8647327,77.8922501
187,29.8647594,77.8922348
188,29.8647652,77.8922348
189,29.8647938,77.8922195
190,29.8647995,77.8922195
191,29.8648319,77.8922272
192,29.8648376,77.8922195
193,29.8648758,77.8922348
194,29.8648834,77.8922272
195,29.8649216,77.8922424
196,29.8649292,77.8922424
197,29.8649693,77.8922348
198,29.8649769,77.8922348
199,29.8650074,77.8922272
200,29.8650131,77.8922272
201,29.8650455,77.8922272
202,29.8650513,77.8922195
203,29.8650799,77.8922043
204,29.8650837,77.8921967
205,29.8651085,77.8922043
207,29.8651466,77.8921967
208,29.8651505,77.8921967
209,29.8651791,77.892189
210,29.8651829,77.892189
211,29.8652077,77.892189
212,29.8652134,77.8921814
213,29.8652439,77.8921814
214,29.8652496,77.8921738
215,29.8652744,77.8921585
216,29.8652763,77.8921585
217,29.8653049,77.8921356
218,29.8653107,77.8921356
219,29.8653393,77.8921356
220,29.865345,77.892128
221,29.8653812,77.892128
222,29.8653889,77.8921204
223,29.8654194,77.8921204
224,29.865427,77.8921204
225,29.8654594,77.892128
226,29.8654652,77.892128
227,29.8655033,77.8921509
228,29.8655071,77.8921432
230,29.8655415,77.8921585
231,29.8655777,77.8921967
232,29.8655853,77.8921967
233,29.8655663,77.8922195
235,29.8655605,77.8922501
236,29.8655567,77.8922501
237,29.8655586,77.8922882
238,29.8655567,77.8922882
239,29.8655567,77.8923187
240,29.8655567,77.8923187
241,29.8655567,77.8923645
242,29.8655548,77.8923645
243,29.8655624,77.892395
244,29.8655624,77.892395
245,29.8655663,77.8924255
246,29.8655663,77.8924255
247,29.8655624,77.8924484
248,29.8655624,77.8924484
249,29.8655624,77.8924789
250,29.8655624,77.8924789
251,29.8655624,77.8925018
252,29.8655624,77.8925018
253,29.8655624,77.8925323
254,29.8655624,77.8925323
255,29.8655663,77.8925858
256,29.8655663,77.8925858
257,29.8655663,77.8926315
258,29.8655663,77.8926315
259,29.8655682,77.8926773
260,29.8655701,77.8926773
261,29.8655663,77.8927231
262,29.8655663,77.8927231
263,29.8655663,77.8927689
264,29.8655663,77.8927689
265,29.8655663,77.892807
266,29.8655663,77.892807
267,29.8655605,77.8928452
