sequence_no,KF_lat,KF_long
268,29.8655586,77.8928452
269,29.8655529,77.8928909
270,29.8655529,77.8928909
271,29.8655472,77.8929214
272,29.8655453,77.8929214
274,29.865551,77.8929672
275,29.8655491,77.893013
276,29.8655491,77.893013
277,29.865551,77.8930511
278,29.865551,77.8930511
279,29.8655491,77.8931122
280,29.8655491,77.8931122
281,29.865551,77.893158
282,29.8655529,77.893158
283,29.8655548,77.8932037
284,29.8655548,77.8932037
285,29.8655586,77.8932419
286,29.8655586,77.8932419
287,29.8655548,77.8932877
288,29.8655529,77.8932877
289,29.8655586,77.8933105
290,29.8655586,77.8933105
291,29.8655415,77.8933258
292,29.8655376,77.8933258
293,29.8655148,77.8933411
294,29.865509,77.8933411
295,29.8654881,77.8933563
297,29.8654575,77.8933716
298,29.8654537,77.8933716
299,29.8654423,77.8934021
300,29.8654385,77.8934021
301,29.8654156,77.8934174
303,29.8654003,77.8934174
304,29.8653984,77.893425
305,29.8653736,77.8934326
307,29.865345,77.8934402
308,29.8653393,77.8934479
309,29.8653202,77.8934708
310,29.8653164,77.8934708
311,29.865303,77.8935089
312,29.8653011,77.8935089
313,29.8652897,77.8935471
314,29.8652859,77.8935471
315,29.8652802,77.8935852
316,29.8652821,77.8935852
317,29.8652763,77.8936234
318,29.8652744,77.8936234
319,29.8652744,77.8936539
320,29.8652744,77.8936539
321,29.8652668,77.8936844
322,29.8652668,77.8936844
323,29.8652554,77.8937302
324,29.8652515,77.8937302
325,29.8652401,77.8937683
327,29.8652325,77.8938141
328,29.8652306,77.8938141
329,29.8652229,77.8938522
330,29.865221,77.8938522
331,29.865221,77.893898
332,29.865221,77.893898
333,29.865221,77.8939362
334,29.865221,77.8939362
335,29.8652058,77.8939667
336,29.8652039,77.8939667
337,29.8652077,77.8940125
338,29.8652058,77.8940125
339,29.8652039,77.894043
340,29.8652039,77.894043
341,29.8651886,77.8940735
342,29.8651867,77.8940735
343,29.8652,77.8940735
344,29.8652039,77.8940735
346,29.8652115,77.8940735
347,29.8651981,77.8940964
348,29.8651943,77.8940964
349,29.8651886,77.8941269
350,29.8651867,77.8941269
351,29.8651772,77.8941422
352,29.8651752,77.8941422
354,29.8651714,77.8941498
355,29.8651485,77.8941498
356,29.8651447,77.8941574
357,29.8651218,77.8941879
358,29.8651142,77.8941879
359,29.8651047,77.8942108
360,29.8651009,77.8942108
361,29.8651009,77.894249
362,29.8651009,77.894249
363,29.8651047,77.8942871
364,29.8651047,77.8942871
365,29.8651047,77.8943253
366,29.8651047,77.8943253
367,29.8651028,77.894371
368,29.8651009,77.894371
369,29.8651047,77.8944092
370,29.8651047,77.8944092
371,29.8651085,77.8944473
372,29.8651085,77.8944473
373,29.8651085,77.8944855
374,29.8651085,77.8944855
375,29.8651123,77.8945236
376,29.8651123,77.8945236
377,29.8651085,77.8945541
378,29.8651085,77.8945541
379,29.8651085,77.8946075
380,29.8651085,77.8946075
381,29.8651085,77.8946381
382,29.8651085,77.8946381
383,29.8651085,77.8946762
384,29.8651085,77.8946762
385,29.8651123,77.8947296
386,29.8651123,77.8947296
387,29.8651123,77.8947754
388,29.8651123,77.8947754
389,29.8651199,77.8948059
390,29.8651218,77.8948059
391,29.8651199,77.8948364
392,29.865118,77.8948364
393,29.8651161,77.8948669
394,29.8651161,77.8948669
395,29.8651123,77.8948898
396,29.8651123,77.8948898
397,29.8651066,77.894928
398,29.8651047,77.894928
399,29.865099,77.8949432
400,29.865097,77.8949432
401,29.8650951,77.894989
402,29.8650951,77.894989
403,29.8651085,77.8950195
404,29.8651123,77.8950119
405,29.865099,77.8950653
407,29.8650837,77.8951035
408,29.8650818,77.8951111
409,29.8650742,77.895134
410,29.8650723,77.8951416
411,29.8650665,77.8951721
412,29.8650665,77.8951721
413,29.8650608,77.8952026
414,29.8650608,77.8952026
415,29.8650608,77.8952332
416,29.8650608,77.8952332
417,29.8650455,77.895256
418,29.8650436,77.895256
419,29.8650208,77.8952942
420,29.865015,77.8952942
422,29.8649902,77.8953094
423,29.8649635,77.8953171
424,29.8649597,77.8953247
425,29.864933,77.8953247
426,29.8649273,77.8953323
427,29.8649063,77.8953323
428,29.8649006,77.89534
429,29.864872,77.8953476
430,29.8648663,77.8953476
431,29.8648319,77.8953552
432,29.8648262,77.8953629
433,29.8647976,77.8953629
434,29.8647938,77.8953629
435,29.8647652,77.8953705
436,29.8647575,77.8953705
437,29.8647175,77.8953781
438,29.8647137,77.8953781
439,29.8646717,77.8953857
440,29.864666,77.8953934
441,29.8646374,77.8953857
442,29.8646336,77.8953934
443,29.8645935,77.895401
444,29.864584,77.8954086
445,29.8645191,77.8954239
446,29.8645058,77.8954315
447,29.8644638,77.8954315
448,29.8644562,77.8954315
449,29.8644276,77.8954391
450,29.864418,77.8954391
451,29.8643799,77.8954468
452,29.8643703,77.8954544
453,29.8643303,77.895462
454,29.8643188,77.895462
455,29.864315,77.895462
456,29.8643188,77.895462
457,29.8643322,77.8954697
458,29.8643341,77.8954697
459,29.8643303,77.8954849
460,29.8643284,77.8954849
461,29.8643265,77.8955078
462,29.8643246,77.8955078
463,29.8643112,77.895546
464,29.8643093,77.895546
465,29.8642998,77.8955917
467,29.8642845,77.8956375
468,29.8642807,77.8956451
469,29.8642693,77.8956909
470,29.8642673,77.8956909
471,29.8642464,77.895752
472,29.8642406,77.895752
473,29.8642292,77.8957977
474,29.8642311,77.8957901
475,29.8642273,77.8958359
476,29.8642273,77.8958359
477,29.8642178,77.895874
478,29.8642159,77.895874
479,29.8642044,77.8959122
480,29.8642025,77.8959122
481,29.8641968,77.8959503
482,29.8641968,77.8959503
483,29.8641968,77.8959808
484,29.8641968,77.8959808
485,29.864193,77.8960342
486,29.864193,77.8960342
487,29.8641853,77.89608
488,29.8641834,77.89608
489,29.8641758,77.8961105
490,29.8641758,77.8961105
491,29.8641758,77.8961563
492,29.8641758,77.8961563
493,29.8641682,77.8961945
494,29.8641663,77.8961945
495,29.8641567,77.8962326
496,29.8641548,77.8962402
497,29.8641472,77.8962784
498,29.8641434,77.8962784
499,29.8641472,77.8963242
500,29.8641491,77.8963242
501,29.8641434,77.8963623
502,29.8641415,77.8963623
503,29.8641357,77.8964081
504,29.8641338,77.8964081
505,29.8641205,77.8964462
506,29.8641186,77.8964462
507,29.8641148,77.8965073
508,29.8641148,77.8964996
509,29.8641205,77.8965454
510,29.8641205,77.8965454
511,29.8641014,77.8965912
512,29.8640976,77.8965912
513,29.8640823,77.8966293
514,29.8640804,77.896637
515,29.8640652,77.8966904
516,29.8640614,77.8966904
517,29.8640347,77.8967209
518,29.8640327,77.8967209
519,29.8640194,77.8967361
520,29.8640175,77.8967361
522,29.864006,77.8967361
523,29.8639889,77.896759
524,29.863987,77.896759
525,29.8639469,77.8967819
526,29.8639393,77.8967819
527,29.8639126,77.8967896
528,29.8639088,77.8967896
529,29.8638744,77.8968048
530,29.8638687,77.8968124
531,29.8638382,77.8968353
532,29.8638325,77.896843
533,29.8638096,77.8968506
534,29.8638058,77.8968506
535,29.8637791,77.8968582
536,29.8637733,77.8968582
537,29.8637486,77.8968658
538,29.8637428,77.8968658
539,29.8637066,77.8968582
540,29.8637009,77.8968582
541,29.8636627,77.8968506
542,29.863657,77.8968506
543,29.8636169,77.8968353
544,29.8636112,77.8968353
545,29.8635845,77.8968353
546,29.8635807,77.8968353
548,29.8635464,77.8968277
549,29.8635101,77.8968277
550,29.8635063,77.8968277
551,29.8634834,77.8968277
552,29.8634796,77.8968277
553,29.8634586,77.8968277
554,29.8634529,77.8968353
555,29.8634319,77.8968277
556,29.8634319,77.8968277
557,29.86343,77.8968201
558,29.86343,77.8968201
559,29.8634033,77.8968201
560,29.8633976,77.8968277
561,29.8633595,77.8968353
562,29.863348,77.896843
563,29.863327,77.896843
564,29.863327,77.896843
565,29.8633041,77.8968506
566,29.8633003,77.8968506
567,29.863266,77.8968506
568,29.8632603,77.8968506
570,29.8632259,77.8968506
571,29.8631897,77.8968582
572,29.8631821,77.8968582
573,29.8631401,77.8968658
574,29.8631287,77.8968735
575,29.8630867,77.8968735
577,29.8630581,77.8968658
578,29.8630524,77.8968735
579,29.8629837,77.8968658
580,29.8629723,77.8968735
581,29.8629322,77.8968658
582,29.8629265,77.8968735
583,29.862896,77.8968735
584,29.8628902,77.8968735
585,29.8628654,77.8968735
586,29.8628597,77.8968735
587,29.8628407,77.8968811
589,29.8628159,77.8968811
590,29.862812,77.8968887
591,29.862793,77.8968811
592,29.8627911,77.8968811
593,29.8627491,77.8968811
594,29.8627415,77.8968811
595,29.8627014,77.8968811
596,29.8626938,77.8968811
597,29.8626652,77.8968735
598,29.8626595,77.8968735
599,29.8626366,77.8968582
600,29.8626328,77.8968582
601,29.8625965,77.8968582
602,29.8625889,77.8968582
603,29.8625584,77.8968582
604,29.8625526,77.8968582
605,29.8625202,77.8968582
606,29.8625145,77.8968582
607,29.8624763,77.8968506
608,29.8624706,77.8968506
609,29.8624382,77.8968506
610,29.8624325,77.8968506
611,29.8624058,77.8968353
612,29.8624001,77.896843
613,29.8623333,77.8968353
614,29.8623219,77.896843
615,29.862278,77.8968277
616,29.8622704,77.8968353
617,29.8622398,77.8968277
618,29.862236,77.8968353
619,29.8622055,77.8968201
620,29.8621998,77.8968277
621,29.8621769,77.8968124
622,29.8621731,77.8968124
623,29.8621578,77.8967972
624,29.8621559,77.8967972
626,29.8621292,77.8967514
627,29.8621082,77.8967361
628,29.8621044,77.8967361
629,29.8620892,77.896698
630,29.8620872,77.896698
631,29.8620872,77.8966599
632,29.8620892,77.8966599
634,29.862093,77.8966217
635,29.8621044,77.8965912
636,29.8621063,77.8965912
637,29.8620853,77.8965607
638,29.8620796,77.8965683
639,29.8620625,77.8965378
640,29.8620605,77.8965378
641,29.8620453,77.8964996
642,29.8620434,77.8964996
643,29.8620605,77.8964462
644,29.8620644,77.8964462
645,29.8620586,77.8964157
664,29.8621178,77.8959503
665,29.8621502,77.8958969
666,29.862154,77.8958969
667,29.8621693,77.8958435
668,29.8621731,77.8958435
669,29.8621864,77.8958054
670,29.8621883,77.8957977
671,29.8622036,77.8957596
672,29.8622074,77.895752
674,29.8622284,77.8957062
675,29.8622475,77.8956757
676,29.8622513,77.8956757
677,29.8622761,77.8956375
678,29.8622818,77.8956375
679,29.8623028,77.8955917
680,29.8623123,77.8955917
681,29.8623314,77.8955612
682,29.8623428,77.8955612
683,29.86236,77.8955231
684,29.8623619,77.8955231
685,29.8623886,77.8955002
686,29.8623924,77.8955002
687,29.8624115,77.8954697
688,29.8624153,77.895462
689,29.8624363,77.8954391
690,29.8624382,77.8954391
691,29.8624535,77.895401
692,29.8624554,77.8953934
693,29.8624706,77.8953552
694,29.8624725,77.8953552
695,29.8624878,77.8953018
696,29.8624897,77.8953018
697,29.8624897,77.895256
698,29.8624897,77.895256
699,29.8624859,77.8952026
700,29.8624859,77.8952026
701,29.8624821,77.8951645
702,29.8624821,77.8951645
703,29.8624802,77.895134
704,29.8624783,77.895134
706,29.8624897,77.8951035
707,29.8624897,77.8950729
708,29.8624897,77.8950653
709,29.8624916,77.8950577
710,29.8624916,77.8950577
711,29.8624897,77.89505
712,29.8624897,77.89505
713,29.8624859,77.8950424
714,29.8624859,77.8950424
715,29.8624821,77.8950348
716,29.8624821,77.8950348
717,29.8624878,77.8950195
718,29.8624878,77.8950119
719,29.862484,77.8950043
720,29.862484,77.8950043
721,29.862484,77.8949738
722,29.862484,77.8949738
723,29.8624401,77.8949661
724,29.8624325,77.8949661
725,29.8624115,77.8949356
726,29.8624115,77.8949356
727,29.8623886,77.8949127
728,29.8623829,77.8949203
729,29.8623695,77.8949127
730,29.8623657,77.8949127
731,29.8623543,77.8949127
733,29.8623447,77.894928
734,29.8623428,77.894928
735,29.8623447,77.8949356
736,29.8623428,77.8949356
737,29.8623352,77.8949661
738,29.862339,77.8949661
739,29.862339,77.8949814
740,29.8623371,77.894989
741,29.8623352,77.8949966
742,29.8623352,77.8949966
743,29.8623276,77.8950119
744,29.8623295,77.8950119
745,29.8623314,77.8950348
746,29.8623352,77.8950272
747,29.8623352,77.8950272
748,29.8623333,77.8950272
749,29.8623238,77.8950272
750,29.8623219,77.8950272
751,29.8623123,77.8950348
752,29.8623104,77.8950348
753,29.8622932,77.8950272
754,29.8622894,77.8950272
755,29.8622761,77.8950119
756,29.8622742,77.8950119
757,29.8622589,77.8950043
758,29.862257,77.8950119
759,29.8622284,77.8950043
760,29.8622246,77.8950119
761,29.8622093,77.8949966
762,29.8622074,77.8950043
763,29.8621845,77.8950043
764,29.8621807,77.8950043
765,29.8621635,77.894989
766,29.8621597,77.8949966
767,29.862133,77.894989
768,29.8621292,77.894989
769,29.8621082,77.8949814
770,29.8621044,77.8949814
771,29.8620911,77.8949661
772,29.8620892,77.8949661
773,29.862072,77.8949661
774,29.8620682,77.8949661
775,29.8620453,77.8949432
776,29.8620415,77.8949432
777,29.8620148,77.8949356
778,29.862011,77.8949432
779,29.8619843,77.894928
780,29.8619785,77.8949356
781,29.8619499,77.8949203
782,29.8619442,77.894928
783,29.8619061,77.8949127
784,29.8619003,77.8949203
785,29.8618717,77.8949051
786,29.8618698,77.8949051
787,29.861845,77.8948746
788,29.8618412,77.8948822
789,29.8618031,77.8948669
790,29.8617954,77.8948746
791,29.8617668,77.8948669
792,29.8617592,77.8948669
793,29.8617306,77.8948593
794,29.8617249,77.8948593
795,29.861702,77.8948517
796,29.8616962,77.8948517
797,29.8616734,77.8948441
798,29.8616714,77.8948441
799,29.8616581,77.8948441
800,29.8616428,77.8948364
801,29.861702,77.8948364
802,29.861681,77.8948288
803,29.86166,77.8948059
804,29.8616505,77.8948135
805,29.8616467,77.8947983
806,29.8616467,77.8948059
807,29.8616409,77.8947983
808,29.861639,77.8947983
809,29.8616314,77.894783
810,29.8616314,77.894783
811,29.8616295,77.894783
812,29.8616276,77.894783
813,29.8616257,77.8947678
814,29.8616257,77.8947678
815,29.8616219,77.8947601
816,29.8616199,77.8947601
818,29.8616238,77.8947449
819,29.8616238,77.8947296
820,29.8616219,77.8947372
821,29.861618,77.8947449
822,29.861618,77.8947449
823,29.8616123,77.8947372
824,29.8616104,77.8947372
825,29.8616104,77.8947449
827,29.8616199,77.8947296
828,29.8616199,77.8947372
829,29.8616161,77.8947372
830,29.8616142,77.8947372
831,29.861618,77.8947449
832,29.861618,77.8947449
833,29.8616142,77.8947372
834,29.8616142,77.8947372
835,29.861618,77.8947372
836,29.861618,77.8947372
837,29.861618,77.8947372
838,29.861618,77.8947372
839,29.861618,77.8947372
840,29.861618,77.8947372
841,29.861618,77.8947449
842,29.861618,77.8947449
843,29.8616123,77.8947601
844,29.8616104,77.8947601
